text,nwords,hashed
tafe quiz then PHOTOSHOOT with my sezdawg ,7,-5837745752795787302
"@RyanStar  Hey Ryan, just thought I'd say that u put on a great show in Radford Sunday night, &amp; I'm so glad I got to meet you! ",27,327726780341802537
@KesavaReddy  mba is good for learning tools/techniques..but one shouldn't start taking the jargons seriously!,14,-8720534784731813541
@tommcfly haha morning then. i think (aussie here) wheat bix with honey!! or maple syrup and milk ,17,1431928023971723416
@Azlemed thats good ,3,-1791425104148115224
"@christhebarker I've done dailies, weeklies and monthlies. Wouldn't mind an annual next ",12,-5373679535165108234
"@NitaJoy Sure, how do you take it?  I have herbal, regular PG Tips and Twinings...",15,-2023177632441643791
"At birdworld and the place is full of kids, I'm the only one without a child in toe... Easter holidays for you ",22,-8084919911971896671
hoping to score seats for NKOTB in June today!  fingers crossed ,11,2865555818332009631
@acapotorto aww sorry don't you that hate! yuck! have fun in the city today ,14,-4310547906268956778
"Sittin' on my butt, waiting on my new car ",9,4265358397434206465
english classes on sunday morning? i can get it  good morning people,12,1815312376489910752
Watching Spongebob!! ,2,9212803896161979645
@dmlaenker - dunno who that is.  I'm too noobish to know much about the people in curling. ,17,7107555140394077123
Studying addictions psychology ... last exam next week ! Can't wait for Summmmerr ,13,6228955009092330065
@rpartain @josh909 @DDsD @craigthomler Thanks for the insight. Sounds kind of fun ,12,-4599776015362814892
Talent show was awesoome. I'm going to upload vids laterr ,10,-3975330973896835419
making chicken ,2,9193537253130170943
Not happy but gonna try to sleep it off. ,9,751954291317501053
@Meryl333 you are too kind! ,5,4725316611161601353
@just_catherine oh well hey that's cool! Welcome to boring lame o Colorado!!  ha-ha!,13,-2007164757809692142
@Brimmers happy birthday Mrs B ,5,2807388109607918624
thanks @glasgow_weather ,2,247899527747151399
@jason_2008 Nice one..hope you have a good day. Isn't this weather amazing!?! Talk to you later..enjoy your walk. ,18,-2850224507485058242
@jlamshed  ur so Bob ,4,6424985634367154893
I'm now a proud owner of a Germany jersey. Awe-fucking-some! ,10,-539496719357143389
I've decided to cook my own dinner ,7,28094634278652703
just uploaded two old demos to http://www.myspace.com/marktinley one from 1988 and one from 1993 guess what I was doing to in 1988 ,22,-8061394463312738025
@naughtygirlx Hey girl... hope everything's okay with ya...! ,8,8144764651202921683
@TinaGerow Yes I am! I figured there had to be someone else on the same flight ,16,2304057037632670016
I love my city  http://twitpic.com/3lbbt,5,-2112741279892553100
talking to gemma  i miss you and i love you &amp;&amp;&amp;&amp; i can't wait to see you and lara ,19,4982979756720778289
off to first soccer game of the day... another game at 3 with the boys ,15,4672693928991794521
@liplash You think my liver doesn't know about morning cocktails? LOL&gt; I was young once. ,15,399309066851576195
enjoying the sunshine today ,4,-7369402282052180091
After a false start I finally have my own online store  #fb,12,-563546427225997249
@Dannymcfly http://twitpic.com/3eyhr - Love this guitar. Love Tom. Love McFly. Love this picture ,13,6827018603037724222
@skeeen hahah he's going!? ,4,1015331082223399672
17 Again and Hannah Montana The Movie were both AMAZING! ,10,1043119612366725202
watching hp and the prisoner of azkaban haha ,8,-6891504167938148669
I had a great weekend!! ,5,-6975825186884229214
"@chasy Yeah  i've been on for 2 years, I'm the voice of a sockpuppet but the rest are movie music videos XD I'm Jellojellybeangirl n,n",25,-5495211987099562559
"@AubreyODay Aubs, Fuck all these other people..I'M THE NUMBER 1 FAN!!!  Joe (617)-669-3319 ",13,4554216050571629372
"@pcsketch Me, too. ",3,-4480126287977597741
@TimNoonan ... which is just what T-rex was thinking 200 million yrs ago. ,13,-281115695075241439
"@thesixtyone but after reading the FAQ, I'm not that confused anymore as a I.. Guess shall give it another try! ",20,-6705716464470211552
"what a start to a Monday! Rainy, morning run to catch train across busy street, helping older woman who fell on stairs #commuterlife ",23,-4789951287150024298
"New game Godfather 2 , realy nice with gta 4 engine ;) lets play today ))  Visla igruska Godfather 2 , sovsem nicego takaja  ubitij den..",26,6676849739588155716
@tsarnick yay totally  send me an e-mail! Cool I'm back at my appartment tomorrow so I'll have my laptop and my video software :),24,-4193562731503323469
"@liquidwings haha... i gotta see that tree one day too... imagine, worldwide tweetup at the rockefeller tree.... ",17,-7223710543467587302
mmmmmmmm Runts candy at 4am.  they have new flavors! green apple replaced lime and now grape.  I pick out all the pink ones  ,23,4920765875024997778
@EducationInfo hahaha what kind of info??  ,6,-2362296998605933745
@BPageVsDDors Yeah that pretty much sums it up! ,8,4398143306839617293
luvin' @taylorswift13's new video ,4,-6657064438417326885
"park w kikko&amp;daryl in the AM, biking by the seawall w joe&amp;jules, qoola(w kiwi&amp;raspberries) &amp; our 1st family night in 5 months  goooood day",24,460534448288544209
Never thought texting could be so fun. ,7,3505541097198239367
break through!  Woohoo.  Persistance pays off.  Staying here fiddling with variables is so worth it. ,15,8928120872136759217
@Matthewjhansen i'll be there!  ,4,4765418522035393996
@AmberInSoDak Yes! He was named after Meeko from Pocahontas because he looked like a little raccoon cub when he was a baby. ,22,-2702048211300951862
@longpour Wollemi Pine is prehistoric!  http://tinyurl.com/cnju4v,6,6644078222292355750
@anne_emanuel I am replying on my iPod touch ,8,-792927453740754917
@Kelly_StrayCat You need to post that to @DonnieWahlberg he always has isms going on around here!  ,16,-7281202682564001636
"@brunolovesbrit cool ,I wanted one of them when I was 14, but I don't like them much now lol but I'm sure urs is cute ",25,7040243923243040117
@RealHughJackman  - Wolverine -&gt; Amazing!! Loved everything about it! I'm def gonna see it again. Love your work! All seats were sold out ,23,8820042570061108979
@nguyelon oh thanks. I'll check those out. ,7,7795462807457812906
"just had and awesome dream about LARPing, it was awesome  lots of fun",13,6185795169685590965
@nil17 good morning to you.  I did get your voice mail yesterday but I was in no service area.  We did go to wadena this weekend ,26,5577239211188837732
I am freaking out! MILEY IS ON HERE! ,8,3809934296200530869
Just got finishinh marching4 babies!Wow!Y'all chat alot.I'm just getting used to this.Why isn't jan following me or me following her? ,20,-2679750389099967363
